NUTR_NIAC,NUTR_FDFE,NUTR_VB2,NUTR_ATOC,NUTR_CARB,NUTR_PHOS,NUTR_FIBE,NUTR_VK,NUTR_PROT,NUTR_CALC,NUTR_COPP,FoodCode,Desc,kcal_per_100g,core_score_per_100kcal_x,core_score_per_100g,core_score_per_100kcal_y,core_score_per_100kcal,tags,multiplier,guarded_score_per_100kcal
-0.6813021430253384,-2.757304077369823,-0.0379021628774934,-0.2230709527676295,-1.6944683021508973,-13.589004916513872,-0.6129019011623915,-226.6288380876472,-0.3147141863262457,-13.805535688107184,-0.0146131129126622,75119000,"Parsley, raw",36.0,-260.3596555308608,-93.72947599110996,-260.359655530861,-260.3596555308608,leafy_green,1.0,-260.3596555308608
-0.6133275956252475,-2.619438873501332,-0.0359683790572131,-0.2230709527676295,-1.6944683021508973,-12.183245787219333,-0.6129019011623915,-226.6288380876472,-0.3147141863262457,-13.10525489233363,-0.013926590829517,75221210,"Parsley, cooked (assume fat not added in cooking)",36.0,-258.04515554862064,-92.89625599750352,-258.04515554862087,-258.04515554862064,leafy_green,1.0,-258.04515554862064
-0.3932637535400999,-1.5167513091134512,-0.0659522060811378,-1.065105096583124,-1.896925352969126,-20.420501036068032,-0.5630486364745415,-217.3193094370635,-0.3613942809487989,-9.667034143159722,-0.0332627692014113,72104100,"Chard, raw",19.0,-253.30254802120297,-48.1274841240286,-253.3025480212031,-253.30254802120297,leafy_green,1.0,-253.30254802120297
-0.3396368780573591,-0.29109368558743,-0.1518899291565599,-0.9734005211678384,-1.1301322411588062,-46.0066624132758,-0.3039182980970537,-113.06316756035612,-0.7976227311849753,-39.28848100963309,-0.0247147949932274,72130100,"Watercress, raw",11.0,-202.3707200626683,-22.26077920689353,-202.37072006266845,-202.37072006266823,leafy_green,1.0,-202.37072006266823
-0.3209568497642043,-0.29109368558743,-0.143029683289094,-0.9636665159561598,-1.1213715261110633,-46.0066624132758,-0.3039182980970537,-112.384788554994,-0.7941548062667799,-38.96107700121948,-0.0247147949932274,72130200,"Watercress, cooked, fat not added in cooking",11.0,-201.3154341295543,-22.14469775425099,-201.3154341295545,-201.3154341295543,leafy_green,1.0,-201.3154341295543
-0.3309033583358841,-0.5146120513063496,-0.0343108500684015,-0.3212221719853866,-1.9239156010203484,-8.43455477576723,-0.4775858970096557,-144.05539697675775,-0.2561310261010138,-9.260856237984944,-0.0195448633875012,72119210,"Kale, cooked, NS as to form, fat not added in cooking",28.0,-165.62903380972443,-46.376129466722894,-165.62903380972458,-165.62903380972443,leafy_green,1.0,-165.62903380972443
-0.7325819791489385,-2.206616699224714,-0.0460072394111899,-0.3724315037511728,-1.1103254071378226,-20.536307280128913,-0.4651271344789691,-89.71906451206836,-0.5224504278933724,-27.715461060056388,-0.0591005967229351,75109400,"Basil, raw",23.0,-143.4854738400228,-33.00165898320527,-143.4854738400229,-143.4854738400228,uncategorized,1.0,-143.4854738400228
-0.3151239555540888,-1.6010152707308651,-0.0835394610361079,-0.9031463965965942,-1.42456844689381,-16.135670005815573,-0.6976907017184536,-99.84165906164596,-0.4660589531366274,-19.886234771904864,-0.0276314478185151,72125213,"Spinach, canned, cooked, no added fat",23.0,-141.38233847285147,-32.51793784875587,-141.3823384728516,-141.38233847285144,leafy_green,1.0,-141.38233847285144
-0.3829405800096723,-0.640406108292346,-0.0501236766216647,-1.0011424360211216,-2.0960010751724365,-12.230104424862484,-1.1700854476736566,-91.16283200391516,-0.2174388923708606,-24.669892033965446,-0.0444866309878093,72128211,"Turnip greens, fresh, cooked, no added fat",20.0,-133.66545330989268,-26.73309066197856,-133.6654533098928,-133.66545330989268,leafy_green,1.0,-133.66545330989268
-0.3396368780573591,-1.8702769298992377,-0.13923243506018,-0.7300503908758785,-1.8966948078362904,-15.718942991202566,-1.1244977029590983,-90.45053404828492,-0.38147174100151,-19.153134492196138,-0.0306527652188729,72101100,"Beet greens, raw",22.0,-131.83512518259204,-29.00372754017027,-131.83512518259215,-131.83512518259204,leafy_green,1.0,-131.83512518259204
-0.345926449873236,-0.5692498740376408,-0.0438324332596863,-0.4639875817566695,-1.859542886615308,-9.371727528630256,-0.8172025348831887,-93.2679006829,-0.2797459434011073,-16.006418189109777,-0.0185687877726893,72118210,"Greens, cooked, NS as to form, fat not added in cooking",27.0,-123.04410289223958,-33.22190778090471,-123.04410289223968,-123.04410289223958,leafy_green,1.0,-123.04410289223958
-0.3008128694104575,-1.065503266382955,-0.0355282765325976,-0.9784353514497408,-1.648222803464968,-9.888788357796065,-0.7838996102641246,-88.73977136119925,-0.4393502120500149,-18.8765345540536,-0.018262163788099,72128212,"Turnip greens, frozen, cooked, no added fat",29.0,-122.77510882639189,-35.604781559653674,-122.77510882639196,-122.77510882639189,leafy_green,1.0,-122.77510882639189
-0.2995245915971365,-1.065503266382955,-0.0355282765325976,-0.9747431425763456,-1.6448997736192728,-9.888788357796065,-0.7838996102641246,-88.48245518675152,-0.438034792253458,-18.752346826724303,-0.0181404160295117,72128210,"Turnip greens, cooked, NS as to form, fat not added in cooking",29.0,-122.3838642405273,-35.49132062975295,-122.3838642405274,-122.3838642405273,leafy_green,1.0,-122.3838642405273
-0.2526719616495142,-0.9437563701150364,-0.0388385213588923,-0.7607893547022314,-1.5723178059369762,-10.654174453600712,-0.9853351138304476,-87.4775678107505,-0.4537505971912697,-19.14451859723788,-0.0107778805233623,72122212,"Mustard greens, frozen, cooked, no added fat",19.0,-122.29449846689684,-23.235954708710416,-122.29449846689693,-122.29449846689684,leafy_green,1.0,-122.29449846689684
-0.3431590382742502,-1.1207106895116057,-0.1479989217121172,-0.7138270488564147,-1.9344956709126624,-12.80802762246135,-0.718147682170075,-88.56949794205855,-0.3602788665014261,-15.072710461411708,-0.032560761657744,72101210,"Beet greens, cooked, fat not added in cooking",27.0,-121.8214147055279,-32.89178197049256,-121.821414705528,-121.8214147055279,leafy_green,1.0,-121.8214147055279
-0.251688802265664,-0.9437563701150364,-0.0388385213588923,-0.7551538780007335,-1.5672458130145983,-10.654174453600712,-0.9853351138304476,-87.16337121879329,-0.4537505971912697,-18.954968908156317,-0.0107778805233623,72122210,"Mustard greens, cooked, NS as to form, fat not added in cooking",19.0,-121.77906155685032,-23.13802169580158,-121.77906155685044,-121.77906155685032,leafy_green,1.0,-121.77906155685032
