FoodCode,Desc,kcal_per_100g,core_score_per_100kcal,top_negative_terms,top_positive_terms
72125100,"Spinach, raw",27.0,-113.9316098131612,NUTR_VK(-88.975); NUTR_PHOS(-12.183); NUTR_CALC(-9.070); NUTR_CARB(-0.860); NUTR_ATOC(-0.805); NUTR_FDFE(-0.747); NUTR_PROT(-0.403); NUTR_FIBE(-0.396); NUTR_NIAC(-0.381); NUTR_VB2(-0.100); NUTR_COPP(-0.011),NUTR_VK(+-88.975); NUTR_PHOS(+-12.183); NUTR_CALC(+-9.070); NUTR_CARB(+-0.860); NUTR_ATOC(+-0.805); NUTR_FDFE(+-0.747); NUTR_PROT(+-0.403); NUTR_FIBE(+-0.396); NUTR_NIAC(+-0.381); NUTR_VB2(+-0.100); NUTR_COPP(+-0.011)
89902060,"Spinach, for use on a sandwich",27.0,-113.9316098131612,NUTR_VK(-88.975); NUTR_PHOS(-12.183); NUTR_CALC(-9.070); NUTR_CARB(-0.860); NUTR_ATOC(-0.805); NUTR_FDFE(-0.747); NUTR_PROT(-0.403); NUTR_FIBE(-0.396); NUTR_NIAC(-0.381); NUTR_VB2(-0.100); NUTR_COPP(-0.011),NUTR_VK(+-88.975); NUTR_PHOS(+-12.183); NUTR_CALC(+-9.070); NUTR_CARB(+-0.860); NUTR_ATOC(+-0.805); NUTR_FDFE(+-0.747); NUTR_PROT(+-0.403); NUTR_FIBE(+-0.396); NUTR_NIAC(+-0.381); NUTR_VB2(+-0.100); NUTR_COPP(+-0.011)
72127000,"Thistle leaves, cooked, fat not added in cooking",23.0,-113.12065746665658,NUTR_VK(-82.322); NUTR_PHOS(-17.603); NUTR_CALC(-9.552); NUTR_CARB(-1.580); NUTR_NIAC(-0.645); NUTR_FDFE(-0.557); NUTR_PROT(-0.313); NUTR_ATOC(-0.233); NUTR_FIBE(-0.203); NUTR_VB2(-0.096); NUTR_COPP(-0.017),NUTR_VK(+-82.322); NUTR_PHOS(+-17.603); NUTR_CALC(+-9.552); NUTR_CARB(+-1.580); NUTR_NIAC(+-0.645); NUTR_FDFE(+-0.557); NUTR_PROT(+-0.313); NUTR_ATOC(+-0.233); NUTR_FIBE(+-0.203); NUTR_VB2(+-0.096); NUTR_COPP(+-0.017)
72110213,"Cress, cooked, from canned, fat not added in cooking",23.0,-113.12065746665658,NUTR_VK(-82.322); NUTR_PHOS(-17.603); NUTR_CALC(-9.552); NUTR_CARB(-1.580); NUTR_NIAC(-0.645); NUTR_FDFE(-0.557); NUTR_PROT(-0.313); NUTR_ATOC(-0.233); NUTR_FIBE(-0.203); NUTR_VB2(-0.096); NUTR_COPP(-0.017),NUTR_VK(+-82.322); NUTR_PHOS(+-17.603); NUTR_CALC(+-9.552); NUTR_CARB(+-1.580); NUTR_NIAC(+-0.645); NUTR_FDFE(+-0.557); NUTR_PROT(+-0.313); NUTR_ATOC(+-0.233); NUTR_FIBE(+-0.203); NUTR_VB2(+-0.096); NUTR_COPP(+-0.017)
72110210,"Cress, cooked, NS as to form, fat not added in cooking",23.0,-113.12065746665658,NUTR_VK(-82.322); NUTR_PHOS(-17.603); NUTR_CALC(-9.552); NUTR_CARB(-1.580); NUTR_NIAC(-0.645); NUTR_FDFE(-0.557); NUTR_PROT(-0.313); NUTR_ATOC(-0.233); NUTR_FIBE(-0.203); NUTR_VB2(-0.096); NUTR_COPP(-0.017),NUTR_VK(+-82.322); NUTR_PHOS(+-17.603); NUTR_CALC(+-9.552); NUTR_CARB(+-1.580); NUTR_NIAC(+-0.645); NUTR_FDFE(+-0.557); NUTR_PROT(+-0.313); NUTR_ATOC(+-0.233); NUTR_FIBE(+-0.203); NUTR_VB2(+-0.096); NUTR_COPP(+-0.017)
72110211,"Cress, cooked, from fresh, fat not added in cooking",23.0,-113.12065746665658,NUTR_VK(-82.322); NUTR_PHOS(-17.603); NUTR_CALC(-9.552); NUTR_CARB(-1.580); NUTR_NIAC(-0.645); NUTR_FDFE(-0.557); NUTR_PROT(-0.313); NUTR_ATOC(-0.233); NUTR_FIBE(-0.203); NUTR_VB2(-0.096); NUTR_COPP(-0.017),NUTR_VK(+-82.322); NUTR_PHOS(+-17.603); NUTR_CALC(+-9.552); NUTR_CARB(+-1.580); NUTR_NIAC(+-0.645); NUTR_FDFE(+-0.557); NUTR_PROT(+-0.313); NUTR_ATOC(+-0.233); NUTR_FIBE(+-0.203); NUTR_VB2(+-0.096); NUTR_COPP(+-0.017)
72113210,"Dandelion greens, cooked, fat not added in cooking",33.0,-112.93958564429563,NUTR_VK(-82.340); NUTR_CALC(-15.170); NUTR_PHOS(-10.735); NUTR_CARB(-1.851); NUTR_FDFE(-0.868); NUTR_ATOC(-0.785); NUTR_FIBE(-0.588); NUTR_NIAC(-0.288); NUTR_PROT(-0.229); NUTR_VB2(-0.073); NUTR_COPP(-0.012),NUTR_VK(+-82.340); NUTR_CALC(+-15.170); NUTR_PHOS(+-10.735); NUTR_CARB(+-1.851); NUTR_FDFE(+-0.868); NUTR_ATOC(+-0.785); NUTR_FIBE(+-0.588); NUTR_NIAC(+-0.288); NUTR_PROT(+-0.229); NUTR_VB2(+-0.073); NUTR_COPP(+-0.012)
72125212,"Spinach, frozen, cooked, no added fat",34.0,-112.38276681605448,NUTR_VK(-78.880); NUTR_CALC(-16.206); NUTR_PHOS(-12.404); NUTR_CARB(-1.358); NUTR_ATOC(-1.112); NUTR_FDFE(-0.918); NUTR_FIBE(-0.728); NUTR_PROT(-0.449); NUTR_NIAC(-0.241); NUTR_VB2(-0.072); NUTR_COPP(-0.017),NUTR_VK(+-78.880); NUTR_CALC(+-16.206); NUTR_PHOS(+-12.404); NUTR_CARB(+-1.358); NUTR_ATOC(+-1.112); NUTR_FDFE(+-0.918); NUTR_FIBE(+-0.728); NUTR_PROT(+-0.449); NUTR_NIAC(+-0.241); NUTR_VB2(+-0.072); NUTR_COPP(+-0.017)
72125210,"Spinach, cooked, NS as to form, fat not added in cooking",34.0,-112.09350272340794,NUTR_VK(-78.704); NUTR_CALC(-16.101); NUTR_PHOS(-12.404); NUTR_CARB(-1.355); NUTR_ATOC(-1.109); NUTR_FDFE(-0.918); NUTR_FIBE(-0.728); NUTR_PROT(-0.448); NUTR_NIAC(-0.240); NUTR_VB2(-0.072); NUTR_COPP(-0.017),NUTR_VK(+-78.704); NUTR_CALC(+-16.101); NUTR_PHOS(+-12.404); NUTR_CARB(+-1.355); NUTR_ATOC(+-1.109); NUTR_FDFE(+-0.918); NUTR_FIBE(+-0.728); NUTR_PROT(+-0.448); NUTR_NIAC(+-0.240); NUTR_VB2(+-0.072); NUTR_COPP(+-0.017)
72104210,"Chard, cooked, fat not added in cooking",20.0,-111.57042994497594,NUTR_VK(-80.940); NUTR_PHOS(-13.917); NUTR_CALC(-10.444); NUTR_CARB(-1.980); NUTR_FDFE(-1.801); NUTR_ATOC(-1.006); NUTR_FIBE(-0.702); NUTR_PROT(-0.357); NUTR_NIAC(-0.334); NUTR_VB2(-0.060); NUTR_COPP(-0.029),NUTR_VK(+-80.940); NUTR_PHOS(+-13.917); NUTR_CALC(+-10.444); NUTR_CARB(+-1.980); NUTR_FDFE(+-1.801); NUTR_ATOC(+-1.006); NUTR_FIBE(+-0.702); NUTR_PROT(+-0.357); NUTR_NIAC(+-0.334); NUTR_VB2(+-0.060); NUTR_COPP(+-0.029)
